4b94140,,179,0,7
789252e,,80,4,7
d0ced63,,409,47,14
6bd8fa0,,468,65,18
4ffbe43,,2040,406,44
42edace,,1259,281,51
b83dcc5,,1097,321,39
f8bc36f,,1677,230,59
81186ca,,337,0,5
73a7f48,,5,1,2
3cdd739,,9,19,2
1416591,,1041,125,44
2783bd5,,79,31,2
a74b107,,10,5,2
172a154,,1457,205,41
3c36e23,,9,0,1
68ad530,,811,201,48
8d71aa3,,111,0,1
3a1c983,,111,0,1
866c493,,0,111,1
89e830d,,674,0,1
e4916d1,,674,0,1
2c83565,,1,1,1
0bd166c,,1729,107,37
baf8cb5,,305,176,34
0d3516c,,785,0,2
a1ef563,,5,1,1
bcb01ed,,1,1,1
7e31d20,,241,53,27
e7dbe07,,225,179,18
2eabff6,,6,2,1
c8e2496,,380,103,18
2ec2edc,,888,0,11
068f9bf,,105,679,18
d89684a,,348,164,24
aed0807,,68,0,3
6ad223d,,1255,248,34
2ff2ae8,,100,33,6
50beb12,,1,0,1
