36175987,GeneralisedFormanRicci-0.3-py3-none-any.whl,9862,https://github.com/ExpectozJJ/GeneralisedFormanRicci/releases/download/v0.3/GeneralisedFormanRicci-0.3-py3-none-any.whl
36175987,GeneralisedFormanRicci-0.3.tar.gz,5148,https://github.com/ExpectozJJ/GeneralisedFormanRicci/releases/download/v0.3/GeneralisedFormanRicci-0.3.tar.gz
34834894,GeneralisedFormanRicci-0.1-py3-none-any.whl,9856,https://github.com/ExpectozJJ/GeneralisedFormanRicci/releases/download/v0.1/GeneralisedFormanRicci-0.1-py3-none-any.whl
34834894,GeneralisedFormanRicci-0.1.tar.gz,5136,https://github.com/ExpectozJJ/GeneralisedFormanRicci/releases/download/v0.1/GeneralisedFormanRicci-0.1.tar.gz
33115285,GeneralisedFormanRicci-0.0.6-py3-none-any.whl,9187,https://github.com/ExpectozJJ/GeneralisedFormanRicci/releases/download/v0.0.6/GeneralisedFormanRicci-0.0.6-py3-none-any.whl
33115285,GeneralisedFormanRicci-0.0.6.tar.gz,4315,https://github.com/ExpectozJJ/GeneralisedFormanRicci/releases/download/v0.0.6/GeneralisedFormanRicci-0.0.6.tar.gz
33108749,GeneralisedFormanRicci-0.0.5-py3-none-any.whl,9165,https://github.com/ExpectozJJ/GeneralisedFormanRicci/releases/download/v0.0.5/GeneralisedFormanRicci-0.0.5-py3-none-any.whl
33108749,GeneralisedFormanRicci-0.0.5.tar.gz,4294,https://github.com/ExpectozJJ/GeneralisedFormanRicci/releases/download/v0.0.5/GeneralisedFormanRicci-0.0.5.tar.gz
33094043,GeneralisedFormanRicci-0.0.3-py3-none-any.whl,9009,https://github.com/ExpectozJJ/GeneralisedFormanRicci/releases/download/v0.0.3/GeneralisedFormanRicci-0.0.3-py3-none-any.whl
33094043,GeneralisedFormanRicci-0.0.3.tar.gz,4211,https://github.com/ExpectozJJ/GeneralisedFormanRicci/releases/download/v0.0.3/GeneralisedFormanRicci-0.0.3.tar.gz
33092230,GeneralisedFormanRicci-0.0.3a0-py3-none-any.whl,9031,https://github.com/ExpectozJJ/GeneralisedFormanRicci/releases/download/v0.0.3-alpha/GeneralisedFormanRicci-0.0.3a0-py3-none-any.whl
33092230,GeneralisedFormanRicci-0.0.3a0.tar.gz,4122,https://github.com/ExpectozJJ/GeneralisedFormanRicci/releases/download/v0.0.3-alpha/GeneralisedFormanRicci-0.0.3a0.tar.gz
