372515533,58283665,xinhecuican/easy-capture,2021-05-31,True,master,1,1,1,0
386151120,58283665,xinhecuican/Hook,2021-07-15,True,master,1,0,0,0
280409196,58283665,xinhecuican/innovate,2020-07-17,True,master,1,0,0,0
300279853,58283665,xinhecuican/NEMU,2020-10-01,True,master,0,0,0,0
360873832,58283665,xinhecuican/Resources,2021-04-23,True,master,1,0,0,0
323038495,58283665,xinhecuican/Tired_party,2020-12-20,True,main,1,0,0,0
316480425,58283665,xinhecuican/WakeLeanCloud,2020-11-27,True,master,2,0,0,0
349337159,58283665,xinhecuican/Web_communicate,2021-03-19,True,master,1,0,0,0
225302605,58283665,xinhecuican/xinhecuican.github.io,2019-12-02,True,master,1,1,1,0
375749897,34215562,MaxRocamora/ArcaneDocs,2021-06-10,True,main,1,0,0,0
188508970,34215562,MaxRocamora/MayaShaderLibrary,2019-05-25,True,master,1,18,18,0
289805172,34215562,MaxRocamora/MayaWorkflow,2020-08-24,True,master,1,3,3,0
240936761,34215562,MaxRocamora/simpleJson,2020-02-16,True,main,2,1,1,0
404130224,34215562,MaxRocamora/synchronizer,2021-09-07,True,master,1,0,0,0
